,bert_f1,rouge1,rouge2,rougeL,strict_coverage_overall,lenient_coverage_overall,Completeness_Score,Conciseness_Score,Readability_Score,Score_B
count,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0,110.0
mean,0.827296830849214,0.2729983948289493,0.04859967627960915,0.15184506507519677,0.42109090909090907,0.4061212121212121,8.781818181818181,7.8090909090909095,8.854545454545455,3.9363636363636365
std,0.011969514686432033,0.07381095594710047,0.02788893040915052,0.03315021569315303,0.11258079811478013,0.1019029212354359,0.6263600714572489,0.735663646535581,0.4853139272745759,1.0429076566585034
min,0.7945414185523987,0.055,0.0,0.045,0.0,0.0,6.0,5.0,7.0,2.0
25%,0.8192055523395538,0.22441513190642107,0.02696575776791375,0.1299306922221271,0.3466666666666667,0.3333333333333333,9.0,8.0,9.0,3.0
50%,0.8280920088291168,0.2697674418604651,0.047318729708549404,0.15061620678372772,0.4266666666666666,0.4158333333333333,9.0,8.0,9.0,3.0
75%,0.8353068828582764,0.32179128348660535,0.07108735213830752,0.17492155983863739,0.4933333333333333,0.47708333333333336,9.0,8.0,9.0,5.0
max,0.8594090938568115,0.4507042253521127,0.1114369501466275,0.2332361516034985,0.79,0.5983333333333334,9.0,9.0,10.0,5.0
