Metric_1,Metric_2,Pearson_r,Pearson_p,Spearman_r,Spearman_p,n
strict_coverage_overall,Readability_Score,0.2007893025091784,0.0354386874756805,0.044933285846647145,0.6411322305400713,110
strict_coverage_overall,Conciseness_Score,0.03429231684443849,0.7220975198727476,-0.10999136363841541,0.2526669290206981,110
strict_coverage_overall,Score_B,0.2506388857945402,0.008266433634129489,0.22631227692681263,0.01743512925169996,110
bert_f1,Score_B,-0.07776361558078843,0.41937929951913777,-0.09911764000670535,0.30290736589742695,110
Completeness_Score,strict_coverage_overall,0.17796029115569204,0.06288296889901156,0.2588715163485536,0.006318739280338974,110
Readability_Score,Score_B,0.16280552943742235,0.08924937561724743,0.14580666272552284,0.12853638724315283,110
