Prompt_Type,bert_f1,rouge1,strict_coverage_overall,lenient_coverage_overall,Completeness_Score,Conciseness_Score,Readability_Score
Structured_v1,0.0018295705318450706,0.005549738851756303,0.009500000000000008,0.02016666666666661,0.5999999999999996,0.40000000000000036,0.1999999999999993
Structured_v1-json,0.00358986258506766,0.008516699659957161,-0.01266666666666666,0.03749999999999992,0.40000000000000036,-0.1999999999999993,-0.10000000000000142
Structured_v1-llm-relevance-chunks,0.002275019884109497,-0.0011901603669381977,0.016500000000000015,0.01050000000000001,0.5,0.0,0.09999999999999964
Structured_v1-llm-relevance-chunks-new-integration,0.004760265350341797,0.010299661818333694,0.05199999999999999,0.061,0.5,0.5,0.1999999999999993
Structured_v1-llm-relevance-chunks-remove-references,0.00356547832489007,0.018740944346312183,0.03916666666666668,0.06216666666666665,0.40000000000000036,-0.09999999999999964,-0.3000000000000007
Structured_v1-newchunking,-0.0028865933418273926,-0.019423958990849977,0.016000000000000014,0.04899999999999999,0.0,-0.09999999999999964,-0.10000000000000142
V1_Revised,-0.0009960472583770974,-0.02774412366511017,0.05316666666666664,0.04266666666666663,0.40000000000000036,0.5999999999999996,0.1999999999999993
V2_Hybrid,0.007400339841842629,0.026629287499978394,-0.00716666666666671,0.02899999999999997,0.5,0.5,0.1999999999999993
research_long,0.004198044538497925,-0.005359692900395729,0.06866666666666665,0.05333333333333329,0.29999999999999893,0.40000000000000036,0.1999999999999993
research_long_v2,0.0003569543361663374,-0.013551211689302345,0.04333333333333328,0.08783333333333326,0.40000000000000036,0.10000000000000053,0.0
research_short,0.0004280149936675137,-0.009562067816774544,-0.00983333333333336,-0.026500000000000024,0.1999999999999993,0.20000000000000018,0.0
