Prompt_Type,bert_f1,rouge1,strict_coverage_overall,lenient_coverage_overall,Completeness_Score,Conciseness_Score,Readability_Score
Structured_v1,0.22174793979713403,2.0280917324805365,2.3949579831932795,5.490018148820311,7.142857142857138,5.263157894736848,2.2727272727272645
Structured_v1-json,0.4350991768493225,3.112335306176202,-3.193277310924368,10.208711433756784,4.761904761904765,-2.631578947368412,-1.1363636363636525
Structured_v1-llm-relevance-chunks,0.27573737307084883,-0.4349311679322514,4.159663865546222,2.858439201451908,5.952380952380952,0.0,1.1363636363636322
Structured_v1-llm-relevance-chunks-new-integration,0.576954545316957,3.763899444475206,13.10924369747899,16.606170598911067,5.952380952380952,6.578947368421052,2.2727272727272645
Structured_v1-llm-relevance-chunks-remove-references,0.4321437513198105,6.848674379625132,9.873949579831937,16.923774954627945,4.761904761904765,-1.315789473684206,-3.409090909090917
Structured_v1-newchunking,-0.3498614103370093,-7.098274656458313,4.033613445378155,13.33938294010889,0.0,-1.315789473684206,-1.1363636363636525
V1_Revised,-0.12072310066284374,-10.138788388632152,13.403361344537808,11.6152450090744,4.761904761904765,7.894736842105258,2.2727272727272645
V2_Hybrid,0.8969373331960802,9.731383631404967,-1.8067226890756412,7.894736842105255,5.952380952380952,6.578947368421052,2.2727272727272645
research_long,0.5088121563970156,-1.9586415055344881,17.310924369747895,14.519056261343,3.5714285714285587,5.263157894736848,2.2727272727272645
research_long_v2,0.04326364426449002,-4.952142997407928,10.924369747899146,23.911070780399253,4.761904761904765,1.3157894736842175,0.0
research_short,0.05187635097748269,-3.4943537349476403,-2.478991596638662,-7.214156079854815,2.3809523809523725,2.631578947368424,0.0
